season,target,played,arm,ll_title,ll_top4,ll_releg,rps,p_champ,p_rel_true
1819,150,150,frozen,0.05403892624726865,0.1595862220685588,0.20767536786120172,0.07642099242105263,0.5459,0.4689666666666667
1819,200,200,banked,0.08522732424981366,0.051505376568916475,0.13208362233347037,0.04640963805263158,0.4057,0.6558333333333334
1819,200,200,refit,0.12326703040715539,0.042327723714746295,0.1333580643552124,0.04669553121052632,0.2751,0.6614666666666666
1819,200,200,frozen,0.05403892624726865,0.1595862220685588,0.20767536786120172,0.07642099242105263,0.5459,0.4689666666666667
1819,250,250,banked,0.07057292438141308,0.07998262150838646,0.08087723994166528,0.041253806368421055,0.4746,0.7710333333333333
1819,250,250,refit,0.08694472244930791,0.07734719430690704,0.07533946335917283,0.041588347000000005,0.4051,0.7885
1819,250,250,frozen,0.05403892624726865,0.1595862220685588,0.20767536786120172,0.07642099242105263,0.5459,0.4689666666666667
1819,300,302,banked,0.03317643720903993,0.1260484438458627,0.04545735752618118,0.038717461999999994,0.7176,0.8696
1819,300,302,refit,0.039390774881457535,0.13477302830955146,0.04119877692418902,0.039387215105263156,0.6744,0.8818
1819,300,302,frozen,0.05403892624726865,0.1595862220685588,0.20767536786120172,0.07642099242105263,0.5459,0.4689666666666667
1920,50,50,banked,0.08751804687679131,0.2070069795403709,0.32441194312324945,0.09983356421052632,0.3857,0.29623333333333335
1920,50,50,refit,0.08137562829933628,0.21342821613975835,0.3173093261639116,0.09815129731578948,0.4132,0.3107
1920,50,50,frozen,0.12532381045629085,0.19789066636298613,0.3225610456158624,0.09570097415789472,0.234,0.2896666666666667
1920,100,100,banked,0.060556706169624774,0.1785696458656763,0.29152400672862055,0.08553675326315789,0.5364,0.3485
1920,100,100,refit,0.0571917827753007,0.19075635773884228,0.2844456683544205,0.08234723747368419,0.5552,0.3841333333333334
1920,100,100,frozen,0.12532381045629085,0.19789066636298613,0.3225610456158624,0.09570097415789472,0.234,0.2896666666666667
1920,150,150,banked,0.02709988807418252,0.19158015893237346,0.22559811137986036,0.06919187099999999,0.7617,0.4676
1920,150,150,refit,0.021870013963268223,0.2447655715189157,0.21458202711457414,0.07084330263157895,0.8019,0.5074666666666666
1920,150,150,frozen,0.12532381045629085,0.19789066636298613,0.3225610456158624,0.09570097415789472,0.234,0.2896666666666667
1920,200,208,banked,0.007944346962723841,0.2196498506225856,0.1952633297750949,0.05749813168421053,0.9236,0.5091333333333333
1920,200,208,refit,0.0041691706345323406,0.2909203387369813,0.17592470895033915,0.05693154805263158,0.9591,0.5427000000000001
1920,200,208,frozen,0.12532381045629085,0.19789066636298613,0.3225610456158624,0.09570097415789472,0.234,0.2896666666666667
1920,250,250,banked,0.0003104823953478507,0.25769797577470654,0.19976165012813388,0.048795375473684205,0.9969,0.511
1920,250,250,refit,9.00414243163905e-05,0.3109048201275796,0.17928815690954208,0.04677107915789474,0.9991,0.5477
1920,250,250,frozen,0.12532381045629085,0.19789066636298613,0.3225610456158624,0.09570097415789472,0.234,0.2896666666666667
1920,300,300,banked,0.00011006144440327537,0.15816928812422404,0.1659713165715379,0.03903024505263158,0.9989,0.6130666666666668
1920,300,300,refit,7.002541143931757e-05,0.20334126888103804,0.16502336382396637,0.040871228631578944,0.9993,0.6259333333333333
